"","fecha","tipo","total","Fecha"
"11-20161","11-2016","Robo parcial de vehículo",265783,nov. 2016
"12-20161","12-2016","Robo parcial de vehículo",227980,dic. 2016
"01-20162","01-2016","Vandalismo",178305,ene. 2016
"02-20162","02-2016","Vandalismo",247974,feb. 2016
"03-20162","03-2016","Vandalismo",199702,mar. 2016
"04-20162","04-2016","Vandalismo",130760,abr. 2016
"05-20162","05-2016","Vandalismo",190956,may. 2016
"06-20162","06-2016","Vandalismo",254626,jun. 2016
"07-20162","07-2016","Vandalismo",151401,jul. 2016
"08-20162","08-2016","Vandalismo",160891,ago. 2016
"09-20162","09-2016","Vandalismo",192071,sep. 2016
"10-20162","10-2016","Vandalismo",158526,oct. 2016
"11-20162","11-2016","Vandalismo",220112,nov. 2016
"12-20162","12-2016","Vandalismo",263545,dic. 2016
"01-20163","01-2016","Robo en casa",124331,ene. 2016
"02-20163","02-2016","Robo en casa",122836,feb. 2016
"03-20163","03-2016","Robo en casa",123142,mar. 2016
"04-20163","04-2016","Robo en casa",136995,abr. 2016
"05-20163","05-2016","Robo en casa",141789,may. 2016
"06-20163","06-2016","Robo en casa",163826,jun. 2016
"07-20163","07-2016","Robo en casa",110777,jul. 2016
"08-20163","08-2016","Robo en casa",123836,ago. 2016
"09-20163","09-2016","Robo en casa",133246,sep. 2016
"10-20163","10-2016","Robo en casa",130542,oct. 2016
"11-20163","11-2016","Robo en casa",202499,nov. 2016
"12-20163","12-2016","Robo en casa",242413,dic. 2016
"01-20164","01-2016","Robo en la calle",331467,ene. 2016
"02-20164","02-2016","Robo en la calle",432921,feb. 2016
"03-20164","03-2016","Robo en la calle",421978,mar. 2016
"04-20164","04-2016","Robo en la calle",336479,abr. 2016
"05-20164","05-2016","Robo en la calle",460358,may. 2016
"06-20164","06-2016","Robo en la calle",501079,jun. 2016
"07-20164","07-2016","Robo en la calle",378267,jul. 2016
"08-20164","08-2016","Robo en la calle",444012,ago. 2016
"09-20164","09-2016","Robo en la calle",498261,sep. 2016
"10-20164","10-2016","Robo en la calle",483991,oct. 2016
"11-20164","11-2016","Robo en la calle",706085,nov. 2016
"12-20164","12-2016","Robo en la calle",851978,dic. 2016
"01-20165","01-2016","Otro tipo de robo",42562,ene. 2016
