"","fecha","tipo","total","Fecha"
"12-20181","12-2018","Robo parcial de vehículo",252884,dic. 2018
"01-20182","01-2018","Vandalismo",167317,ene. 2018
"02-20182","02-2018","Vandalismo",220766,feb. 2018
"03-20182","03-2018","Vandalismo",225293,mar. 2018
"04-20182","04-2018","Vandalismo",163795,abr. 2018
"05-20182","05-2018","Vandalismo",189153,may. 2018
"06-20182","06-2018","Vandalismo",235112,jun. 2018
"07-20182","07-2018","Vandalismo",171934,jul. 2018
"08-20182","08-2018","Vandalismo",179215,ago. 2018
"09-20182","09-2018","Vandalismo",191569,sep. 2018
"10-20182","10-2018","Vandalismo",209665,oct. 2018
"11-20182","11-2018","Vandalismo",242624,nov. 2018
"12-20182","12-2018","Vandalismo",246480,dic. 2018
"01-20183","01-2018","Robo en casa",134801,ene. 2018
"02-20183","02-2018","Robo en casa",132414,feb. 2018
"03-20183","03-2018","Robo en casa",147571,mar. 2018
"04-20183","04-2018","Robo en casa",135446,abr. 2018
"05-20183","05-2018","Robo en casa",166126,may. 2018
"06-20183","06-2018","Robo en casa",191072,jun. 2018
"07-20183","07-2018","Robo en casa",132739,jul. 2018
"08-20183","08-2018","Robo en casa",162266,ago. 2018
"09-20183","09-2018","Robo en casa",152162,sep. 2018
"10-20183","10-2018","Robo en casa",167687,oct. 2018
"11-20183","11-2018","Robo en casa",208746,nov. 2018
"12-20183","12-2018","Robo en casa",253900,dic. 2018
"01-20184","01-2018","Robo en la calle",448670,ene. 2018
"02-20184","02-2018","Robo en la calle",542283,feb. 2018
"03-20184","03-2018","Robo en la calle",542435,mar. 2018
"04-20184","04-2018","Robo en la calle",437962,abr. 2018
"05-20184","05-2018","Robo en la calle",580606,may. 2018
"06-20184","06-2018","Robo en la calle",601154,jun. 2018
"07-20184","07-2018","Robo en la calle",452460,jul. 2018
"08-20184","08-2018","Robo en la calle",527425,ago. 2018
"09-20184","09-2018","Robo en la calle",639273,sep. 2018
"10-20184","10-2018","Robo en la calle",585599,oct. 2018
"11-20184","11-2018","Robo en la calle",848908,nov. 2018
"12-20184","12-2018","Robo en la calle",924728,dic. 2018
"01-20185","01-2018","Otro tipo de robo",72703,ene. 2018
"02-20185","02-2018","Otro tipo de robo",99510,feb. 2018
"03-20185","03-2018","Otro tipo de robo",88972,mar. 2018
"04-20185","04-2018","Otro tipo de robo",66177,abr. 2018
"05-20185","05-2018","Otro tipo de robo",91472,may. 2018
"06-20185","06-2018","Otro tipo de robo",112735,jun. 2018
"07-20185","07-2018","Otro tipo de robo",95003,jul. 2018
"08-20185","08-2018","Otro tipo de robo",104899,ago. 2018
"09-20185","09-2018","Otro tipo de robo",104188,sep. 2018
"10-20185","10-2018","Otro tipo de robo",114749,oct. 2018
"11-20185","11-2018","Otro tipo de robo",160354,nov. 2018
"12-20185","12-2018","Otro tipo de robo",178184,dic. 2018
"01-20186","01-2018","Fraude bancario",148487,ene. 2018
"02-20186","02-2018","Fraude bancario",166287,feb. 2018
"03-20186","03-2018","Fraude bancario",209052,mar. 2018
"04-20186","04-2018","Fraude bancario",136729,abr. 2018
"05-20186","05-2018","Fraude bancario",191219,may. 2018
"06-20186","06-2018","Fraude bancario",163440,jun. 2018
"07-20186","07-2018","Fraude bancario",142150,jul. 2018
"08-20186","08-2018","Fraude bancario",179483,ago. 2018
"09-20186","09-2018","Fraude bancario",175579,sep. 2018
"10-20186","10-2018","Fraude bancario",179059,oct. 2018
"11-20186","11-2018","Fraude bancario",259120,nov. 2018
"12-20186","12-2018","Fraude bancario",300337,dic. 2018
"01-20187","01-2018","Fraude al consumidor",123773,ene. 2018
"02-20187","02-2018","Fraude al consumidor",158030,feb. 2018
"03-20187","03-2018","Fraude al consumidor",132792,mar. 2018
"04-20187","04-2018","Fraude al consumidor",88372,abr. 2018
"05-20187","05-2018","Fraude al consumidor",116985,may. 2018
"06-20187","06-2018","Fraude al consumidor",101225,jun. 2018
"07-20187","07-2018","Fraude al consumidor",102558,jul. 2018
"08-20187","08-2018","Fraude al consumidor",106898,ago. 2018
"09-20187","09-2018","Fraude al consumidor",116352,sep. 2018
"10-20187","10-2018","Fraude al consumidor",123955,oct. 2018
"11-20187","11-2018","Fraude al consumidor",128625,nov. 2018
"12-20187","12-2018","Fraude al consumidor",173520,dic. 2018
"01-20188","01-2018","Extorsión",302624,ene. 2018
"02-20188","02-2018","Extorsión",413072,feb. 2018
"03-20188","03-2018","Extorsión",369237,mar. 2018
"04-20188","04-2018","Extorsión",291862,abr. 2018
"05-20188","05-2018","Extorsión",469743,may. 2018
"06-20188","06-2018","Extorsión",570174,jun. 2018
"07-20188","07-2018","Extorsión",367885,jul. 2018
"08-20188","08-2018","Extorsión",391245,ago. 2018
"09-20188","09-2018","Extorsión",398426,sep. 2018
"10-20188","10-2018","Extorsión",444220,oct. 2018
"11-20188","11-2018","Extorsión",586500,nov. 2018
"12-20188","12-2018","Extorsión",581479,dic. 2018
"01-20189","01-2018","Amenazas verbales",125220,ene. 2018
"02-20189","02-2018","Amenazas verbales",140890,feb. 2018
"03-20189","03-2018","Amenazas verbales",137039,mar. 2018
"04-20189","04-2018","Amenazas verbales",121950,abr. 2018
"05-20189","05-2018","Amenazas verbales",155319,may. 2018
"06-20189","06-2018","Amenazas verbales",185605,jun. 2018
"07-20189","07-2018","Amenazas verbales",139948,jul. 2018
"08-20189","08-2018","Amenazas verbales",154790,ago. 2018
"09-20189","09-2018","Amenazas verbales",182687,sep. 2018
"10-20189","10-2018","Amenazas verbales",207636,oct. 2018
"11-20189","11-2018","Amenazas verbales",247196,nov. 2018
"12-20189","12-2018","Amenazas verbales",345819,dic. 2018
"01-201810","01-2018","Lesiones físicas",52151,ene. 2018
"02-201810","02-2018","Lesiones físicas",63632,feb. 2018
"03-201810","03-2018","Lesiones físicas",77078,mar. 2018
"04-201810","04-2018","Lesiones físicas",58717,abr. 2018
"05-201810","05-2018","Lesiones físicas",66195,may. 2018
"06-201810","06-2018","Lesiones físicas",73674,jun. 2018
"07-201810","07-2018","Lesiones físicas",39825,jul. 2018
"08-201810","08-2018","Lesiones físicas",71169,ago. 2018
"09-201810","09-2018","Lesiones físicas",55303,sep. 2018
"10-201810","10-2018","Lesiones físicas",84348,oct. 2018
"11-201810","11-2018","Lesiones físicas",92082,nov. 2018
"12-201810","12-2018","Lesiones físicas",110011,dic. 2018
"01-201811","01-2018","Secuestro",3804,ene. 2018
"02-201811","02-2018","Secuestro",3420,feb. 2018
"03-201811","03-2018","Secuestro",5750,mar. 2018
"04-201811","04-2018","Secuestro",4615,abr. 2018
"05-201811","05-2018","Secuestro",4442,may. 2018
"06-201811","06-2018","Secuestro",1726,jun. 2018
"07-201811","07-2018","Secuestro",7690,jul. 2018
"08-201811","08-2018","Secuestro",1269,ago. 2018
"09-201811","09-2018","Secuestro",1551,sep. 2018
"10-201811","10-2018","Secuestro",9835,oct. 2018
"11-201811","11-2018","Secuestro",4437,nov. 2018
"12-201811","12-2018","Secuestro",14039,dic. 2018
"01-201812","01-2018","Hostigamiento",53645,ene. 2018
"02-201812","02-2018","Hostigamiento",70849,feb. 2018
"03-201812","03-2018","Hostigamiento",59799,mar. 2018
"04-201812","04-2018","Hostigamiento",41734,abr. 2018
"05-201812","05-2018","Hostigamiento",75722,may. 2018
"06-201812","06-2018","Hostigamiento",58853,jun. 2018
"07-201812","07-2018","Hostigamiento",56411,jul. 2018
"08-201812","08-2018","Hostigamiento",89970,ago. 2018
"09-201812","09-2018","Hostigamiento",90690,sep. 2018
"10-201812","10-2018","Hostigamiento",108219,oct. 2018
"11-201812","11-2018","Hostigamiento",114290,nov. 2018
"12-201812","12-2018","Hostigamiento",179970,dic. 2018
"01-201813","01-2018","Violación",6464,ene. 2018
"02-201813","02-2018","Violación",3977,feb. 2018
"03-201813","03-2018","Violación",NA,mar. 2018
"04-201813","04-2018","Violación",749,abr. 2018
"05-201813","05-2018","Violación",2080,may. 2018
"06-201813","06-2018","Violación",4657,jun. 2018
"07-201813","07-2018","Violación",4745,jul. 2018
"08-201813","08-2018","Violación",6496,ago. 2018
"09-201813","09-2018","Violación",6099,sep. 2018
"10-201813","10-2018","Violación",2942,oct. 2018
"11-201813","11-2018","Violación",8466,nov. 2018
"12-201813","12-2018","Violación",5738,dic. 2018
"01-201814","01-2018","Otros",6105,ene. 2018
"02-201814","02-2018","Otros",6243,feb. 2018
"03-201814","03-2018","Otros",5097,mar. 2018
"04-201814","04-2018","Otros",1575,abr. 2018
"05-201814","05-2018","Otros",2766,may. 2018
"06-201814","06-2018","Otros",2219,jun. 2018
"07-201814","07-2018","Otros",8018,jul. 2018
"08-201814","08-2018","Otros",3063,ago. 2018
"09-201814","09-2018","Otros",1953,sep. 2018
"10-201814","10-2018","Otros",4957,oct. 2018
"11-201814","11-2018","Otros",5155,nov. 2018
"12-201814","12-2018","Otros",11390,dic. 2018
"01-2019","01-2019","Robo total de vehículo",36764,ene. 2019
"02-2019","02-2019","Robo total de vehículo",52033,feb. 2019
"03-2019","03-2019","Robo total de vehículo",57330,mar. 2019
"04-2019","04-2019","Robo total de vehículo",39678,abr. 2019
"05-2019","05-2019","Robo total de vehículo",46580,may. 2019
"06-2019","06-2019","Robo total de vehículo",44683,jun. 2019
"07-2019","07-2019","Robo total de vehículo",31819,jul. 2019
"08-2019","08-2019","Robo total de vehículo",33645,ago. 2019
"09-2019","09-2019","Robo total de vehículo",47288,sep. 2019
"10-2019","10-2019","Robo total de vehículo",41473,oct. 2019
"11-2019","11-2019","Robo total de vehículo",40837,nov. 2019
"12-2019","12-2019","Robo total de vehículo",42669,dic. 2019
"01-20191","01-2019","Robo parcial de vehículo",167652,ene. 2019
"02-20191","02-2019","Robo parcial de vehículo",256515,feb. 2019
"03-20191","03-2019","Robo parcial de vehículo",245362,mar. 2019
"04-20191","04-2019","Robo parcial de vehículo",173805,abr. 2019
"05-20191","05-2019","Robo parcial de vehículo",219834,may. 2019
"06-20191","06-2019","Robo parcial de vehículo",287330,jun. 2019
"07-20191","07-2019","Robo parcial de vehículo",188950,jul. 2019
"08-20191","08-2019","Robo parcial de vehículo",217696,ago. 2019
"09-20191","09-2019","Robo parcial de vehículo",216378,sep. 2019
"10-20191","10-2019","Robo parcial de vehículo",196025,oct. 2019
"11-20191","11-2019","Robo parcial de vehículo",271159,nov. 2019
"12-20191","12-2019","Robo parcial de vehículo",261143,dic. 2019
"01-20192","01-2019","Vandalismo",185071,ene. 2019
"02-20192","02-2019","Vandalismo",208149,feb. 2019
"03-20192","03-2019","Vandalismo",222992,mar. 2019
"04-20192","04-2019","Vandalismo",154957,abr. 2019
"05-20192","05-2019","Vandalismo",196069,may. 2019
"06-20192","06-2019","Vandalismo",238729,jun. 2019
"07-20192","07-2019","Vandalismo",158382,jul. 2019
"08-20192","08-2019","Vandalismo",165516,ago. 2019
"09-20192","09-2019","Vandalismo",158666,sep. 2019
"10-20192","10-2019","Vandalismo",162511,oct. 2019
"11-20192","11-2019","Vandalismo",201206,nov. 2019
"12-20192","12-2019","Vandalismo",215625,dic. 2019
"01-20193","01-2019","Robo en casa",129488,ene. 2019
"02-20193","02-2019","Robo en casa",137902,feb. 2019
"03-20193","03-2019","Robo en casa",164196,mar. 2019
"04-20193","04-2019","Robo en casa",114149,abr. 2019
"05-20193","05-2019","Robo en casa",155955,may. 2019
"06-20193","06-2019","Robo en casa",150275,jun. 2019
"07-20193","07-2019","Robo en casa",143555,jul. 2019
"08-20193","08-2019","Robo en casa",147094,ago. 2019
"09-20193","09-2019","Robo en casa",144913,sep. 2019
"10-20193","10-2019","Robo en casa",161507,oct. 2019
"11-20193","11-2019","Robo en casa",228627,nov. 2019
"12-20193","12-2019","Robo en casa",229300,dic. 2019
"01-20194","01-2019","Robo en la calle",478999,ene. 2019
"02-20194","02-2019","Robo en la calle",566901,feb. 2019
"03-20194","03-2019","Robo en la calle",597954,mar. 2019
"04-20194","04-2019","Robo en la calle",386796,abr. 2019
"05-20194","05-2019","Robo en la calle",566929,may. 2019
"06-20194","06-2019","Robo en la calle",544189,jun. 2019
"07-20194","07-2019","Robo en la calle",449743,jul. 2019
"08-20194","08-2019","Robo en la calle",508701,ago. 2019
"09-20194","09-2019","Robo en la calle",596141,sep. 2019
"10-20194","10-2019","Robo en la calle",565817,oct. 2019
"11-20194","11-2019","Robo en la calle",853670,nov. 2019
"12-20194","12-2019","Robo en la calle",941436,dic. 2019
"01-20195","01-2019","Otro tipo de robo",69697,ene. 2019
"02-20195","02-2019","Otro tipo de robo",87157,feb. 2019
"03-20195","03-2019","Otro tipo de robo",100934,mar. 2019
"04-20195","04-2019","Otro tipo de robo",75253,abr. 2019
"05-20195","05-2019","Otro tipo de robo",123016,may. 2019
"06-20195","06-2019","Otro tipo de robo",131542,jun. 2019
"07-20195","07-2019","Otro tipo de robo",116999,jul. 2019
"08-20195","08-2019","Otro tipo de robo",133459,ago. 2019
"09-20195","09-2019","Otro tipo de robo",102683,sep. 2019
"10-20195","10-2019","Otro tipo de robo",123943,oct. 2019
"11-20195","11-2019","Otro tipo de robo",157225,nov. 2019
"12-20195","12-2019","Otro tipo de robo",193374,dic. 2019
"01-20196","01-2019","Fraude bancario",148981,ene. 2019
"02-20196","02-2019","Fraude bancario",215176,feb. 2019
"03-20196","03-2019","Fraude bancario",190558,mar. 2019
"04-20196","04-2019","Fraude bancario",129206,abr. 2019
"05-20196","05-2019","Fraude bancario",184603,may. 2019
"06-20196","06-2019","Fraude bancario",196683,jun. 2019
"07-20196","07-2019","Fraude bancario",162966,jul. 2019
"08-20196","08-2019","Fraude bancario",168714,ago. 2019
"09-20196","09-2019","Fraude bancario",172855,sep. 2019
"10-20196","10-2019","Fraude bancario",175100,oct. 2019
"11-20196","11-2019","Fraude bancario",245700,nov. 2019
"12-20196","12-2019","Fraude bancario",281373,dic. 2019
"01-20197","01-2019","Fraude al consumidor",135534,ene. 2019
"02-20197","02-2019","Fraude al consumidor",113916,feb. 2019
"03-20197","03-2019","Fraude al consumidor",152367,mar. 2019
"04-20197","04-2019","Fraude al consumidor",95130,abr. 2019
"05-20197","05-2019","Fraude al consumidor",102120,may. 2019
"06-20197","06-2019","Fraude al consumidor",137543,jun. 2019
"07-20197","07-2019","Fraude al consumidor",102956,jul. 2019
"08-20197","08-2019","Fraude al consumidor",122891,ago. 2019
"09-20197","09-2019","Fraude al consumidor",119619,sep. 2019
"10-20197","10-2019","Fraude al consumidor",118669,oct. 2019
"11-20197","11-2019","Fraude al consumidor",170722,nov. 2019
"12-20197","12-2019","Fraude al consumidor",202766,dic. 2019
"01-20198","01-2019","Extorsión",265016,ene. 2019
"02-20198","02-2019","Extorsión",360287,feb. 2019
"03-20198","03-2019","Extorsión",429363,mar. 2019
"04-20198","04-2019","Extorsión",276241,abr. 2019
"05-20198","05-2019","Extorsión",402061,may. 2019
"06-20198","06-2019","Extorsión",458462,jun. 2019
"07-20198","07-2019","Extorsión",374441,jul. 2019
"08-20198","08-2019","Extorsión",327826,ago. 2019
"09-20198","09-2019","Extorsión",363684,sep. 2019
"10-20198","10-2019","Extorsión",342626,oct. 2019
"11-20198","11-2019","Extorsión",477189,nov. 2019
"12-20198","12-2019","Extorsión",516697,dic. 2019
"01-20199","01-2019","Amenazas verbales",176592,ene. 2019
"02-20199","02-2019","Amenazas verbales",154775,feb. 2019
"03-20199","03-2019","Amenazas verbales",206978,mar. 2019
"04-20199","04-2019","Amenazas verbales",142793,abr. 2019
"05-20199","05-2019","Amenazas verbales",161213,may. 2019
"06-20199","06-2019","Amenazas verbales",211940,jun. 2019
"07-20199","07-2019","Amenazas verbales",150125,jul. 2019
"08-20199","08-2019","Amenazas verbales",159372,ago. 2019
"09-20199","09-2019","Amenazas verbales",164746,sep. 2019
"10-20199","10-2019","Amenazas verbales",205160,oct. 2019
"11-20199","11-2019","Amenazas verbales",258084,nov. 2019
"12-20199","12-2019","Amenazas verbales",299910,dic. 2019
"01-201910","01-2019","Lesiones físicas",47866,ene. 2019
"02-201910","02-2019","Lesiones físicas",59413,feb. 2019
"03-201910","03-2019","Lesiones físicas",77267,mar. 2019
"04-201910","04-2019","Lesiones físicas",51989,abr. 2019
"05-201910","05-2019","Lesiones físicas",73323,may. 2019
"06-201910","06-2019","Lesiones físicas",47643,jun. 2019
"07-201910","07-2019","Lesiones físicas",42685,jul. 2019
"08-201910","08-2019","Lesiones físicas",61633,ago. 2019
"09-201910","09-2019","Lesiones físicas",59882,sep. 2019
"10-201910","10-2019","Lesiones físicas",67141,oct. 2019
"11-201910","11-2019","Lesiones físicas",93269,nov. 2019
"12-201910","12-2019","Lesiones físicas",132971,dic. 2019
"01-201911","01-2019","Secuestro",3810,ene. 2019
"02-201911","02-2019","Secuestro",2825,feb. 2019
"03-201911","03-2019","Secuestro",4904,mar. 2019
"04-201911","04-2019","Secuestro",3706,abr. 2019
"05-201911","05-2019","Secuestro",3994,may. 2019
"06-201911","06-2019","Secuestro",2551,jun. 2019
"07-201911","07-2019","Secuestro",1775,jul. 2019
"08-201911","08-2019","Secuestro",3462,ago. 2019
"09-201911","09-2019","Secuestro",7244,sep. 2019
"10-201911","10-2019","Secuestro",3910,oct. 2019
"11-201911","11-2019","Secuestro",3178,nov. 2019
"12-201911","12-2019","Secuestro",3875,dic. 2019
"01-201912","01-2019","Hostigamiento",64191,ene. 2019
"02-201912","02-2019","Hostigamiento",63384,feb. 2019
"03-201912","03-2019","Hostigamiento",83462,mar. 2019
"04-201912","04-2019","Hostigamiento",83060,abr. 2019
"05-201912","05-2019","Hostigamiento",76113,may. 2019
"06-201912","06-2019","Hostigamiento",60349,jun. 2019
"07-201912","07-2019","Hostigamiento",58737,jul. 2019
"08-201912","08-2019","Hostigamiento",75779,ago. 2019
"09-201912","09-2019","Hostigamiento",57634,sep. 2019
"10-201912","10-2019","Hostigamiento",77777,oct. 2019
"11-201912","11-2019","Hostigamiento",114079,nov. 2019
"12-201912","12-2019","Hostigamiento",122884,dic. 2019
"01-201913","01-2019","Violación",4405,ene. 2019
"02-201913","02-2019","Violación",7376,feb. 2019
"03-201913","03-2019","Violación",7815,mar. 2019
"04-201913","04-2019","Violación",3146,abr. 2019
"05-201913","05-2019","Violación",2737,may. 2019
"06-201913","06-2019","Violación",2266,jun. 2019
"07-201913","07-2019","Violación",2883,jul. 2019
"08-201913","08-2019","Violación",4044,ago. 2019
"09-201913","09-2019","Violación",4248,sep. 2019
"10-201913","10-2019","Violación",6813,oct. 2019
"11-201913","11-2019","Violación",697,nov. 2019
"12-201913","12-2019","Violación",13898,dic. 2019
"01-201914","01-2019","Otros",7652,ene. 2019
"02-201914","02-2019","Otros",10430,feb. 2019
"03-201914","03-2019","Otros",12251,mar. 2019
"04-201914","04-2019","Otros",4605,abr. 2019
"05-201914","05-2019","Otros",15295,may. 2019
"06-201914","06-2019","Otros",7478,jun. 2019
"07-201914","07-2019","Otros",4830,jul. 2019
"08-201914","08-2019","Otros",8003,ago. 2019
"09-201914","09-2019","Otros",3696,sep. 2019
"10-201914","10-2019","Otros",8482,oct. 2019
"11-201914","11-2019","Otros",13235,nov. 2019
"12-201914","12-2019","Otros",23467,dic. 2019
"01-2020","01-2020","Robo total de vehículo",48603,ene. 2020
"02-2020","02-2020","Robo total de vehículo",69283,feb. 2020
"03-2020","03-2020","Robo total de vehículo",54434,mar. 2020
"04-2020","04-2020","Robo total de vehículo",37088,abr. 2020
"05-2020","05-2020","Robo total de vehículo",41868,may. 2020
"06-2020","06-2020","Robo total de vehículo",55259,jun. 2020
"07-2020","07-2020","Robo total de vehículo",38503,jul. 2020
"08-2020","08-2020","Robo total de vehículo",33659,ago. 2020
"09-2020","09-2020","Robo total de vehículo",34989,sep. 2020
"10-2020","10-2020","Robo total de vehículo",35684,oct. 2020
"11-2020","11-2020","Robo total de vehículo",53944,nov. 2020
"12-2020","12-2020","Robo total de vehículo",47910,dic. 2020
"01-20201","01-2020","Robo parcial de vehículo",161822,ene. 2020
"02-20201","02-2020","Robo parcial de vehículo",237583,feb. 2020
"03-20201","03-2020","Robo parcial de vehículo",244458,mar. 2020
"04-20201","04-2020","Robo parcial de vehículo",164788,abr. 2020
"05-20201","05-2020","Robo parcial de vehículo",206294,may. 2020
"06-20201","06-2020","Robo parcial de vehículo",225013,jun. 2020
"07-20201","07-2020","Robo parcial de vehículo",147558,jul. 2020
"08-20201","08-2020","Robo parcial de vehículo",155429,ago. 2020
"09-20201","09-2020","Robo parcial de vehículo",180510,sep. 2020
"10-20201","10-2020","Robo parcial de vehículo",193260,oct. 2020
"11-20201","11-2020","Robo parcial de vehículo",224736,nov. 2020
"12-20201","12-2020","Robo parcial de vehículo",222765,dic. 2020
"01-20202","01-2020","Vandalismo",160086,ene. 2020
"02-20202","02-2020","Vandalismo",182969,feb. 2020
"03-20202","03-2020","Vandalismo",198388,mar. 2020
"04-20202","04-2020","Vandalismo",139166,abr. 2020
"05-20202","05-2020","Vandalismo",160930,may. 2020
"06-20202","06-2020","Vandalismo",187325,jun. 2020
"07-20202","07-2020","Vandalismo",132511,jul. 2020
"08-20202","08-2020","Vandalismo",132510,ago. 2020
"09-20202","09-2020","Vandalismo",136169,sep. 2020
"10-20202","10-2020","Vandalismo",123341,oct. 2020
"11-20202","11-2020","Vandalismo",177165,nov. 2020
"12-20202","12-2020","Vandalismo",175006,dic. 2020
"01-20203","01-2020","Robo en casa",106327,ene. 2020
"02-20203","02-2020","Robo en casa",115673,feb. 2020
"03-20203","03-2020","Robo en casa",143119,mar. 2020
"04-20203","04-2020","Robo en casa",103065,abr. 2020
"05-20203","05-2020","Robo en casa",127177,may. 2020
"06-20203","06-2020","Robo en casa",146752,jun. 2020
"07-20203","07-2020","Robo en casa",121714,jul. 2020
"08-20203","08-2020","Robo en casa",108203,ago. 2020
"09-20203","09-2020","Robo en casa",97532,sep. 2020
"10-20203","10-2020","Robo en casa",121010,oct. 2020
"11-20203","11-2020","Robo en casa",178294,nov. 2020
"12-20203","12-2020","Robo en casa",174523,dic. 2020
"01-20204","01-2020","Robo en la calle",424841,ene. 2020
"02-20204","02-2020","Robo en la calle",532789,feb. 2020
"03-20204","03-2020","Robo en la calle",520075,mar. 2020
"04-20204","04-2020","Robo en la calle",401259,abr. 2020
"05-20204","05-2020","Robo en la calle",527650,may. 2020
"06-20204","06-2020","Robo en la calle",485533,jun. 2020
"07-20204","07-2020","Robo en la calle",393879,jul. 2020
"08-20204","08-2020","Robo en la calle",377555,ago. 2020
"09-20204","09-2020","Robo en la calle",463845,sep. 2020
"10-20204","10-2020","Robo en la calle",491154,oct. 2020
"11-20204","11-2020","Robo en la calle",649215,nov. 2020
"12-20204","12-2020","Robo en la calle",684182,dic. 2020
"01-20205","01-2020","Otro tipo de robo",58266,ene. 2020
"02-20205","02-2020","Otro tipo de robo",62235,feb. 2020
"03-20205","03-2020","Otro tipo de robo",74508,mar. 2020
"04-20205","04-2020","Otro tipo de robo",56947,abr. 2020
"05-20205","05-2020","Otro tipo de robo",63382,may. 2020
"06-20205","06-2020","Otro tipo de robo",83549,jun. 2020
"07-20205","07-2020","Otro tipo de robo",68266,jul. 2020
"08-20205","08-2020","Otro tipo de robo",76000,ago. 2020
"09-20205","09-2020","Otro tipo de robo",60897,sep. 2020
"10-20205","10-2020","Otro tipo de robo",70604,oct. 2020
"11-20205","11-2020","Otro tipo de robo",96469,nov. 2020
"12-20205","12-2020","Otro tipo de robo",102232,dic. 2020
"01-20206","01-2020","Fraude bancario",153990,ene. 2020
"02-20206","02-2020","Fraude bancario",207699,feb. 2020
"03-20206","03-2020","Fraude bancario",206487,mar. 2020
"04-20206","04-2020","Fraude bancario",150511,abr. 2020
"05-20206","05-2020","Fraude bancario",176297,may. 2020
"06-20206","06-2020","Fraude bancario",180283,jun. 2020
"07-20206","07-2020","Fraude bancario",181304,jul. 2020
"08-20206","08-2020","Fraude bancario",184793,ago. 2020
"09-20206","09-2020","Fraude bancario",161465,sep. 2020
"10-20206","10-2020","Fraude bancario",179921,oct. 2020
"11-20206","11-2020","Fraude bancario",242886,nov. 2020
"12-20206","12-2020","Fraude bancario",247917,dic. 2020
"01-20207","01-2020","Fraude al consumidor",93646,ene. 2020
"02-20207","02-2020","Fraude al consumidor",129301,feb. 2020
"03-20207","03-2020","Fraude al consumidor",146109,mar. 2020
"04-20207","04-2020","Fraude al consumidor",83047,abr. 2020
"05-20207","05-2020","Fraude al consumidor",149025,may. 2020
"06-20207","06-2020","Fraude al consumidor",118234,jun. 2020
"07-20207","07-2020","Fraude al consumidor",80640,jul. 2020
"08-20207","08-2020","Fraude al consumidor",96188,ago. 2020
"09-20207","09-2020","Fraude al consumidor",93476,sep. 2020
"10-20207","10-2020","Fraude al consumidor",90724,oct. 2020
"11-20207","11-2020","Fraude al consumidor",168241,nov. 2020
"12-20207","12-2020","Fraude al consumidor",185910,dic. 2020
"01-20208","01-2020","Extorsión",224496,ene. 2020
"02-20208","02-2020","Extorsión",355875,feb. 2020
"03-20208","03-2020","Extorsión",362513,mar. 2020
"04-20208","04-2020","Extorsión",223492,abr. 2020
"05-20208","05-2020","Extorsión",284005,may. 2020
"06-20208","06-2020","Extorsión",382488,jun. 2020
"07-20208","07-2020","Extorsión",296255,jul. 2020
"08-20208","08-2020","Extorsión",268347,ago. 2020
"09-20208","09-2020","Extorsión",249292,sep. 2020
"10-20208","10-2020","Extorsión",264676,oct. 2020
"11-20208","11-2020","Extorsión",365343,nov. 2020
"12-20208","12-2020","Extorsión",347394,dic. 2020
"01-20209","01-2020","Amenazas verbales",175622,ene. 2020
"02-20209","02-2020","Amenazas verbales",181274,feb. 2020
"03-20209","03-2020","Amenazas verbales",189429,mar. 2020
"04-20209","04-2020","Amenazas verbales",140432,abr. 2020
"05-20209","05-2020","Amenazas verbales",149659,may. 2020
"06-20209","06-2020","Amenazas verbales",193728,jun. 2020
"07-20209","07-2020","Amenazas verbales",121403,jul. 2020
"08-20209","08-2020","Amenazas verbales",151268,ago. 2020
"09-20209","09-2020","Amenazas verbales",205382,sep. 2020
"10-20209","10-2020","Amenazas verbales",192218,oct. 2020
"11-20209","11-2020","Amenazas verbales",230859,nov. 2020
"12-20209","12-2020","Amenazas verbales",284289,dic. 2020
"01-202010","01-2020","Lesiones físicas",59577,ene. 2020
"02-202010","02-2020","Lesiones físicas",76436,feb. 2020
"03-202010","03-2020","Lesiones físicas",62857,mar. 2020
"04-202010","04-2020","Lesiones físicas",45687,abr. 2020
"05-202010","05-2020","Lesiones físicas",77035,may. 2020
"06-202010","06-2020","Lesiones físicas",66262,jun. 2020
"07-202010","07-2020","Lesiones físicas",51589,jul. 2020
"08-202010","08-2020","Lesiones físicas",61299,ago. 2020
"09-202010","09-2020","Lesiones físicas",64847,sep. 2020
"10-202010","10-2020","Lesiones físicas",56117,oct. 2020
"11-202010","11-2020","Lesiones físicas",94152,nov. 2020
"12-202010","12-2020","Lesiones físicas",98325,dic. 2020
"01-202011","01-2020","Secuestro",1509,ene. 2020
"02-202011","02-2020","Secuestro",4673,feb. 2020
"03-202011","03-2020","Secuestro",7154,mar. 2020
"04-202011","04-2020","Secuestro",3224,abr. 2020
"05-202011","05-2020","Secuestro",4621,may. 2020
"06-202011","06-2020","Secuestro",6935,jun. 2020
"07-202011","07-2020","Secuestro",8337,jul. 2020
"08-202011","08-2020","Secuestro",6601,ago. 2020
"09-202011","09-2020","Secuestro",13325,sep. 2020
"10-202011","10-2020","Secuestro",2485,oct. 2020
"11-202011","11-2020","Secuestro",6096,nov. 2020
"12-202011","12-2020","Secuestro",7312,dic. 2020
"01-202012","01-2020","Hostigamiento",121360,ene. 2020
"02-202012","02-2020","Hostigamiento",147715,feb. 2020
"03-202012","03-2020","Hostigamiento",135610,mar. 2020
"04-202012","04-2020","Hostigamiento",98310,abr. 2020
