"","FAC_ELE","victima"
"452",584,0
"453",395,1
"454",395,0
"455",789,0
"456",592,0
"457",395,0
"458",210,0
"459",421,0
"460",421,0
"461",631,1
"462",631,0
"463",632,1
"464",421,0
"465",421,0
"466",842,0
"467",842,0
"468",203,0
"469",608,1
"470",203,0
"471",811,0
"472",405,0
"473",483,1
"474",965,0
"475",724,0
"476",379,0
"477",189,0
"478",757,1
"479",411,0
"480",616,0
"481",205,1
"482",411,0
"483",411,0
"484",165,0
"485",330,0
"486",165,0
"487",660,0
"488",763,1
"489",382,1
"490",763,0
"491",382,1
"492",573,0
"493",766,1
"494",766,0
"495",766,0
"496",255,1
"497",1383,0
"498",230,0
"499",461,1
"500",922,0
"501",723,0
"502",241,1
"503",241,1
"504",1206,1
"505",216,0
"506",431,1
"507",647,0
"508",216,0
"509",216,1
"510",431,1
"511",863,0
"512",749,0
"513",500,1
"514",749,0
"515",1748,0
"516",223,0
"517",446,0
"518",223,0
"519",668,0
"520",668,1
"521",393,0
"522",196,1
"523",196,0
"524",439,1
"525",659,1
"526",878,1
"527",439,1
"528",439,0
"529",667,0
"530",1111,1
"531",222,0
"532",444,0
"533",380,0
"534",380,1
"535",380,0
"536",380,0
"537",380,0
"538",463,0
"539",694,0
"540",694,0
"541",1157,0
"542",463,0
"543",618,0
"544",412,0
"545",412,1
"546",824,1
"547",633,1
"548",633,0
"549",844,0
"550",633,0
"551",438,1
"552",656,1
"553",438,1
"554",219,0
"555",591,1
"556",788,0
"557",394,0
"558",394,0
"559",591,0
"560",635,0
"561",424,0
"562",635,0
"563",670,0
"564",670,0
"565",446,0
"566",890,0
"567",445,0
"568",668,1
"569",445,0
"570",445,0
"571",233,1
"572",931,0
"573",698,0
"574",931,0
"575",427,0
"576",427,1
"577",854,1
"578",640,0
"579",427,0
"580",415,1
"581",415,1
"582",415,0
"583",829,1
"584",400,0
"585",400,0
"586",600,1
"587",429,0
"588",429,0
"589",644,1
"590",429,1
"591",1502,0
"592",217,1
"593",651,0
"594",434,0
"595",651,0
"596",868,1
"597",364,0
"598",546,0
"599",546,0
"600",728,0
"601",546,0
"602",662,0
"603",442,0
"604",442,0
"605",221,0
"606",442,1
"607",813,1
"608",271,0
"609",542,0
"610",813,0
"611",693,0
"612",462,0
"613",693,0
"614",693,0
"615",693,0
"616",641,1
"617",427,0
"618",427,1
"619",641,1
"620",427,1
"621",380,0
"622",380,1
"623",759,1
"624",759,0
"625",949,1
"626",234,0
"627",468,1
"628",702,0
"629",468,0
"630",612,1
"631",408,0
"632",408,1
"633",408,0
"634",416,0
"635",416,0
"636",208,1
"637",624,0
"638",832,0
"639",786,1
"640",197,1
"641",197,0
"642",197,0
"643",786,0
"644",648,1
"645",432,0
"646",864,1
"647",432,1
"648",216,1
"649",227,0
"650",682,1
"651",910,0
"652",455,1
"653",910,0
"654",431,0
"655",431,0
"656",431,0
"657",647,0
"658",523,1
"659",261,1
"660",1829,1
"661",523,1
"662",826,0
"663",413,0
"664",619,0
"665",413,0
"666",413,1
"667",406,0
"668",609,0
"669",609,1
"670",406,1
"671",389,0
"672",389,0
"673",389,0
"674",584,1
"675",973,1
"676",777,0
"677",794,0
"678",993,0
"679",397,0
"680",794,0
"681",477,1
"682",1193,0
"683",477,0
"684",477,0
"685",239,0
"686",635,0
"687",635,0
"688",423,0
"689",635,1
"690",423,0
"691",412,1
"692",412,0
"693",412,0
"694",1029,0
"695",617,0
"696",617,1
"697",462,0
"698",923,1
"699",231,1
"700",462,0
"701",462,0
"702",894,0
"703",223,0
"704",1117,0
"705",447,0
"706",447,0
"707",758,1
"708",758,0
"709",379,0
"710",437,1
"711",218,1
"712",437,0
"713",655,1
"714",437,0
"715",386,1
"716",386,0
"717",579,0
"718",1158,0
"719",193,0
"720",403,0
"721",807,0
"722",403,0
"723",403,0
"724",202,1
"725",605,1
"726",1298,0
"727",519,1
"728",1038,0
"729",779,0
"730",1038,0
"731",282,0
"732",564,0
"733",846,1
"734",564,0
"735",564,1
"736",928,0
"737",696,1
"738",696,0
"739",232,0
"740",422,0
"741",632,0
"742",632,1
"743",211,0
"744",384,0
"745",960,0
"746",192,0
"747",384,0
"748",279,0
"749",557,0
"750",557,0
"751",279,1
"752",1114,0
"753",667,1
"754",889,0
"755",222,0
"756",445,0
"757",445,0
"758",557,0
"759",557,0
"760",371,0
"761",186,0
"762",186,1
"763",604,0
"764",403,0
"765",604,0
"766",604,1
"767",611,1
"768",407,0
"769",611,0
"770",611,0
"771",407,0
"772",689,0
"773",459,1
"774",230,0
"775",459,0
"776",230,0
"777",524,1
"778",262,1
"779",262,0
"780",524,1
"781",524,1
"782",393,0
"783",590,0
"784",393,0
"785",393,0
"786",590,0
"787",433,1
"788",433,0
"789",433,1
"790",433,0
"791",217,1
"792",398,0
"793",596,0
"794",398,1
"795",398,1
"796",398,1
"797",1268,0
"798",507,0
"799",236,0
"800",471,0
"801",707,0
"802",236,1
"803",707,0
"804",670,1
"805",447,0
"806",447,1
"807",223,0
"808",447,0
"809",255,0
"810",255,1
"811",510,1
"812",510,1
"813",545,1
"814",1362,1
"815",545,1
"816",545,0
"817",545,1
"818",394,0
"819",197,0
"820",197,1
"821",789,1
"822",394,0
"823",1267,0
"824",760,0
"825",1013,0
"826",760,0
"827",471,0
"828",471,0
"829",235,0
"830",706,1
"831",235,0
"832",535,1
"833",802,0
"834",1337,0
"835",535,1
"836",403,0
"837",403,0
"838",604,0
"839",403,0
"840",201,1
"841",489,1
"842",244,0
"843",489,0
"844",244,1
"845",733,0
"846",562,1
"847",375,0
"848",375,1
"849",562,0
"850",1193,0
"851",597,0
"852",895,1
"853",895,1
"854",502,1
"855",502,1
"856",502,1
"857",251,0
"858",506,0
"859",506,1
"860",1012,0
"861",506,0
"862",253,1
"863",233,0
"864",934,0
"865",467,0
"866",467,0
"867",467,1
"868",629,0
"869",944,0
"870",629,1
"871",485,1
"872",485,0
"873",971,0
"874",530,0
"875",1325,1
"876",530,0
"877",795,0
"878",1192,1
"879",199,0
"880",795,0
"881",189,1
"882",377,1
"883",189,0
"884",377,1
"885",566,1
"886",754,1
"887",225,1
"888",676,0
"889",225,0
"890",676,0
"891",676,1
"892",732,0
"893",488,0
"894",488,0
"895",244,0
"896",488,0
"897",843,1
"898",422,1
"899",422,0
"900",632,0
"901",632,0
"902",455,1
"903",455,1
"904",228,1
"905",455,1
"906",455,0
"907",455,1
"908",227,0
"909",487,0
"910",731,0
"911",731,1
"912",731,0
"913",974,0
"914",414,1
"915",207,0
"916",414,1
"917",414,1
"918",434,0
"919",1084,0
"920",434,0
"921",434,0
"922",217,0
"923",434,0
"924",527,0
"925",527,0
"926",351,0
"927",351,1
"928",176,1
"929",475,0
"930",475,0
"931",475,0
"932",475,0
"933",209,0
"934",628,0
"935",419,0
"936",419,0
"937",419,1
"938",403,0
"939",403,1
"940",202,0
"941",1009,0
"942",403,0
"943",473,0
"944",709,0
"945",236,0
"946",468,0
"947",234,0
"948",468,0
"949",468,1
"950",468,1
"951",481,0
"952",481,0
"953",721,0
"954",481,0
"955",481,0
"956",875,1
"957",437,0
"958",656,0
"959",656,0
"960",437,0
"961",641,1
"962",427,0
"963",427,0
"964",641,0
"965",214,1
"966",767,0
"967",1150,0
"968",767,1
"969",767,1
"970",214,1
"971",214,0
"972",429,1
"973",357,1
"974",357,1
"975",357,1
"976",357,1
"977",413,1
"978",207,0
"979",207,0
"980",207,0
"981",413,1
"982",219,1
"983",438,1
"984",438,1
"985",658,0
"986",391,0
"987",195,1
"988",391,0
"989",195,0
"990",809,0
"991",539,0
"992",539,0
"993",539,1
"994",270,0
"995",197,1
"996",591,0
"997",394,0
"998",394,0
"999",750,1
"1000",500,0
"1001",500,0
"1002",999,0
"1003",650,1
"1004",433,0
"1005",650,0
"1006",433,0
"1007",650,1
"1008",393,1
"1009",393,0
"1010",393,0
"1011",197,0
"1012",393,0
"1013",633,1
"1014",633,0
"1015",633,1
"1016",633,1
"1017",443,1
"1018",443,0
"1019",443,0
"1020",443,0
"1021",653,0
"1022",218,0
"1023",435,0
"1024",870,0
"1025",653,0
"1026",222,0
"1027",666,1
"1028",444,1
"1029",444,1
"1030",666,0
"1031",222,0
"1032",423,0
"1033",212,0
"1034",423,0
"1035",423,1
"1036",846,0
"1037",581,0
"1038",581,1
"1039",291,0
"1040",581,0
"1041",581,0
"1042",917,0
"1043",459,0
"1044",688,0
"1045",459,1
"1046",229,1
"1047",772,0
"1048",514,1
"1049",514,0
"1050",257,0
"1051",513,1
"1052",513,0
"1053",769,0
"1054",769,0
"1055",448,1
"1056",448,1
"1057",897,0
"1058",448,1
"1059",672,0
"1060",591,0
"1061",394,1
"1062",394,1
"1063",591,0
"1064",197,0
"1065",449,1
"1066",449,0
"1067",673,1
"1068",673,1
"1069",449,0
"1070",904,0
"1071",904,0
"1072",452,1
"1073",678,0
"1074",452,0
"1075",200,0
"1076",401,1
"1077",401,0
"1078",801,0
"1079",401,1
"1080",422,0
"1081",1686,0
"1082",422,1
"1083",211,0
"1084",422,0
"1085",684,0
"1086",456,0
"1087",684,0
"1088",615,0
"1089",205,0
"1090",205,0
"1091",410,1
"1092",410,0
"1093",429,1
"1094",643,0
"1095",429,0
"1096",214,1
"1097",429,0
"1098",225,1
"1099",225,0
"1100",451,0
"1101",451,0
"1102",454,0
"1103",454,0
"1104",682,0
"1105",454,0
"1106",2244,0
"1107",748,0
"1108",374,0
"1109",374,1
"1110",1172,0
"1111",1563,1
"1112",391,1
"1113",781,0
"1114",1207,0
"1115",402,1
"1116",805,1
"1117",805,0
"1118",425,0
"1119",212,1
"1120",637,0
"1121",212,0
"1122",494,0
"1123",247,0
"1124",247,1
"1125",247,1
"1126",392,0
"1127",196,0
"1128",392,0
"1129",784,0
"1130",392,0
"1131",794,0
"1132",1191,0
"1133",794,0
"1134",1191,0
"1135",1588,0
"1136",794,0
"1137",794,1
"1138",397,0
"1139",794,0
"1140",1191,0
"1141",794,0
"1142",1191,0
"1143",794,0
"1144",397,0
"1145",676,0
"1146",1014,0
"1147",1014,1
"1148",1014,1
"1149",338,0
"1150",676,1
"1151",676,0
"1152",676,0
"1153",676,0
"1154",676,0
"1155",1352,1
"1156",676,0
"1157",1014,0
"1158",676,0
"1159",676,0
"1160",676,1
"1161",676,1
"1162",1014,1
"1163",338,0
"1164",676,1
"1165",1310,0
"1166",1310,1
"1167",873,1
"1168",873,1
"1169",437,0
"1170",437,0
"1171",437,0
"1172",873,0
"1173",873,1
"1174",666,0
"1175",222,1
"1176",888,0
"1177",222,0
"1178",888,0
"1179",666,0
"1180",444,1
"1181",444,0
"1182",222,1
"1183",222,0
"1184",444,0
"1185",222,1
"1186",444,0
"1187",444,0
"1188",444,0
"1189",222,1
"1190",222,0
"1191",444,1
"1192",666,0
"1193",726,0
"1194",726,1
"1195",1452,0
"1196",829,0
"1197",829,1
"1198",553,1
"1199",553,0
"1200",553,0
"1201",553,0
"1202",553,0
"1203",553,0
"1204",553,0
"1205",553,0
"1206",553,0
"1207",829,0
"1208",553,0
"1209",553,0
"1210",829,0
"1211",1106,1
"1212",553,1
"1213",829,0
"1214",829,0
"1215",611,0
"1216",611,0
"1217",306,0
"1218",1089,0
"1219",1815,0
"1220",1089,0
"1221",726,0
"1222",726,1
"1223",726,0
"1224",726,1
"1225",726,0
"1226",363,0
"1227",726,0
"1228",726,1
"1229",726,1
"1230",726,1
"1231",726,0
"1232",726,0
"1233",873,0
"1234",1310,0
"1235",437,0
"1236",437,0
"1237",873,0
"1238",437,0
"1239",873,0
"1240",873,0
"1241",437,1
"1242",873,0
"1243",873,0
"1244",437,1
"1245",1310,0
"1246",591,0
"1247",394,1
"1248",1588,0
"1249",397,0
"1250",794,0
"1251",794,0
"1252",794,0
"1253",1191,0
"1254",611,0
"1255",611,0
"1256",306,1
"1257",2750,1
"1258",611,0
"1259",611,1
"1260",1222,0
"1261",611,0
"1262",917,1
"1263",1222,0
"1264",611,0
"1265",306,0
"1266",611,0
"1267",1583,0
"1268",396,0
"1269",1583,0
"1270",792,1
"1271",611,1
"1272",306,0
"1273",488,1
"1274",244,0
"1275",731,0
"1276",975,0
"1277",488,0
"1278",488,0
"1279",488,1
"1280",488,0
"1281",731,0
"1282",975,0
"1283",731,0
"1284",1583,0
"1285",792,0
"1286",394,1
"1287",488,0
"1288",488,0
"1289",244,0
"1290",731,1
"1291",488,0
"1292",197,1
"1293",488,0
"1294",488,0
"1295",766,0
"1296",511,0
"1297",1048,0
"1298",524,0
"1299",262,0
"1300",524,0
"1301",511,1
"1302",511,0
"1303",1277,0
"1304",511,0
"1305",262,0
"1306",524,0
"1307",1022,0
"1308",1310,0
"1309",766,0
"1310",766,0
"1311",511,0
"1312",1277,0
"1313",1054,0
"1314",791,0
"1315",527,0
"1316",264,0
"1317",527,0
"1318",527,1
"1319",373,0
"1320",746,0
"1321",373,0
"1322",1492,0
"1323",746,0
"1324",1119,0
"1325",255,0
"1326",766,1
"1327",387,0
"1328",774,1
"1329",387,1
"1330",387,0
"1331",1022,0
"1332",511,0
"1333",511,0
"1334",387,0
"1335",581,0
"1336",774,0
"1337",387,0
"1338",774,0
"1339",524,0
"1340",262,0
"1341",524,0
"1342",1054,0
"1343",791,1
"1344",264,0
"1345",264,0
"1346",1054,0
"1347",264,1
"1348",527,0
"1349",1581,1
"1350",527,0
"1351",527,0
"1352",1581,0
"1353",264,0
"1354",373,0
"1355",746,1
"1356",2239,0
"1357",373,0
"1358",746,1
"1359",581,0
"1360",194,0
"1361",581,0
"1362",360,0
"1363",180,1
"1364",540,0
"1365",180,0
"1366",746,0
"1367",746,0
"1368",1866,0
"1369",1119,0
"1370",1119,0
"1371",581,0
"1372",360,0
"1373",540,0
"1374",360,0
"1375",540,1
"1376",180,1
"1377",540,0
"1378",360,0
"1379",774,0
"1380",387,0
"1381",387,0
"1382",387,0
"1383",774,0
"1384",387,1
"1385",524,1
"1386",524,0
"1387",262,0
"1388",1310,0
"1389",1048,0
"1390",524,0
"1391",524,0
"1392",1048,0
"1393",373,0
"1394",360,1
"1395",360,0
"1396",360,0
"1397",360,1
"1398",360,0
"1399",360,0
"1400",540,1
"1401",524,0
"1402",333,0
"1403",674,0
"1404",449,1
"1405",674,1
"1406",674,0
"1407",1143,1
"1408",457,0
"1409",457,0
"1410",457,0
"1411",457,0
"1412",333,0
"1413",167,0
"1414",184,1
"1415",368,0
"1416",920,0
"1417",368,0
"1418",368,1
"1419",674,0
"1420",387,0
"1421",387,0
"1422",581,1
"1423",387,0
"1424",536,1
"1425",500,0
"1426",333,0
"1427",536,0
"1428",536,0
"1429",804,1
"1430",536,1
"1431",536,1
"1432",552,0
"1433",368,0
"1434",368,0
"1435",552,0
"1436",368,0
"1437",736,0
"1438",536,0
"1439",536,1
"1440",184,0
"1441",574,0
"1442",493,1
"1443",493,0
"1444",493,0
"1445",493,0
"1446",368,1
"1447",368,0
"1448",184,0
"1449",554,0
"1450",831,1
"1451",1104,0
"1452",736,0
"1453",1001,1
"1454",751,0
"1455",501,1
"1456",371,1
"1457",186,1
"1458",186,0
"1459",536,0
"1460",268,0
"1461",1340,0
"1462",536,0
"1463",536,0
"1464",501,0
"1465",501,0
"1466",536,0
"1467",536,1
"1468",804,0
"1469",167,0
"1470",1336,0
"1471",534,0
"1472",267,0
"1473",802,1
"1474",534,0
"1475",227,1
"1476",454,0
"1477",957,0
"1478",765,1
"1479",383,0
"1480",383,1
"1481",429,1
"1482",215,0
"1483",215,0
"1484",429,0
"1485",644,1
"1486",493,1
"1487",368,0
"1488",368,0
"1489",552,1
"1490",368,0
"1491",630,0
"1492",630,0
"1493",315,0
"1494",630,0
"1495",945,0
"1496",315,0
"1497",630,0
"1498",945,1
"1499",371,1
"1500",371,0
"1501",907,1
"1502",363,0
"1503",181,0
"1504",536,1
"1505",536,0
"1506",715,0
"1507",357,0
"1508",1072,1
"1509",357,0
"1510",357,1
"1511",552,0
"1512",368,0
"1513",227,1
"1514",454,0
"1515",429,0
"1516",859,0
"1517",215,1
"1518",429,1
"1519",429,0
"1520",429,0
"1521",502,1
"1522",335,0
"1523",335,1
"1524",215,1
"1525",429,1
"1526",630,0
"1527",630,0
"1528",315,0
"1529",1261,0
"1530",630,0
"1531",181,0
"1532",363,1
"1533",836,0
"1534",315,0
"1535",630,0
"1536",429,1
"1537",644,0
"1538",1261,0
"1539",215,0
"1540",429,0
"1541",429,1
"1542",315,0
"1543",450,1
"1544",1349,1
"1545",337,0
"1546",400,0
"1547",750,0
"1548",150,1
"1549",450,0
"1550",150,0
"1551",427,1
"1552",1000,0
"1553",400,1
"1554",800,1
"1555",300,0
"1556",450,1
"1557",300,0
"1558",641,1
"1559",427,0
"1560",427,0
"1561",641,0
"1562",427,0
"1563",641,0
"1564",400,1
"1565",400,0
"1566",1199,0
"1567",600,1
"1568",300,0
"1569",450,0
"1570",750,0
"1571",600,0
"1572",600,0
"1573",300,1
"1574",200,1
"1575",600,0
"1576",800,0
"1577",675,1
"1578",1012,1
"1579",1686,1
"1580",675,0
"1581",427,0
"1582",427,1
"1583",214,0
"1584",450,0
"1585",675,0
"1586",337,0
"1587",675,0
"1588",675,1
"1589",675,0
"1590",1068,0
"1591",427,0
"1592",427,0
"1593",214,0
"1594",300,0
"1595",400,1
"1596",400,1
"1597",600,0
"1598",800,0
"1599",200,0
"1600",600,0
"1601",338,0
"1602",338,0
"1603",507,0
"1604",169,0
"1605",338,0
"1606",338,1
"1607",675,0
"1608",675,0
"1609",675,0
"1610",1686,0
"1611",675,0
"1612",300,1
"1613",507,0
"1614",1068,0
"1615",427,1
"1616",641,0
"1617",169,0
"1618",507,0
"1619",400,0
"1620",507,0
"1621",1349,1
"1622",1349,0
"1623",337,0
"1624",507,0
"1625",855,1
"1626",427,0
"1627",338,0
"1628",507,0
"1629",507,0
"1630",844,0
"1631",507,0
"1632",338,0
"1633",400,0
"1634",400,0
"1635",338,0
"1636",507,1
"1637",276,0
"1638",552,1
"1639",197,0
"1640",866,0
"1641",217,0
"1642",985,0
"1643",394,0
"1644",552,1
"1645",276,1
"1646",552,0
"1647",552,0
"1648",1083,0
"1649",433,0
"1650",433,0
"1651",433,0
"1652",433,0
"1653",650,0
"1654",650,0
"1655",788,0
"1656",591,0
"1657",197,0
"1658",394,0
"1659",591,0
"1660",828,0
"1661",552,1
"1662",552,1
"1663",276,0
"1664",295,0
"1665",442,1
"1666",552,0
"1667",552,1
"1668",1104,0
"1669",552,0
"1670",1137,0
"1671",147,0
"1672",442,0
"1673",591,0
"1674",394,0
"1675",394,1
"1676",788,0
"1677",197,0
"1678",394,0
"1679",394,0
"1680",591,0
"1681",591,0
"1682",394,0
"1683",147,1
"1684",866,0
"1685",217,0
"1686",442,1
"1687",737,0
"1688",295,0
"1689",828,1
"1690",552,0
"1691",1104,0
"1692",147,0
"1693",590,0
"1694",442,0
"1695",590,0
"1696",1083,1
"1697",569,0
"1698",569,0
"1699",650,1
"1700",433,0
"1701",1083,0
"1702",650,1
"1703",433,0
"1704",650,1
"1705",569,0
"1706",442,0
"1707",295,0
"1708",442,0
"1709",1421,0
"1710",569,0
"1711",569,0
"1712",853,1
"1713",569,0
"1714",295,0
"1715",853,1
"1716",147,0
"1717",442,0
"1718",853,1
"1719",569,0
"1720",569,1
"1721",284,0
"1722",569,0
"1723",569,0
"1724",442,0
"1725",284,0
"1726",276,0
"1727",569,0
"1728",276,0
"1729",569,1
"1730",1111,0
"1731",628,1
"1732",628,0
"1733",628,0
"1734",314,0
"1735",222,0
"1736",667,1
"1737",444,0
"1738",1587,0
"1739",314,0
"1740",444,1
"1741",793,0
"1742",157,0
"1743",1190,0
"1744",471,0
"1745",444,0
"1746",222,0
"1747",314,0
"1748",628,0
"1749",667,1
"1750",667,1
"1751",222,0
"1752",444,0
"1753",444,1
"1754",444,0
"1755",444,1
"1756",889,0
"1757",444,1
"1758",222,0
"1759",793,0
"1760",222,1
"1761",444,0
"1762",793,0
"1763",785,0
"1764",471,0
"1765",314,0
"1766",471,0
"1767",793,1
"1768",1190,1
"1769",793,0
"1770",793,0
"1771",1587,0
"1772",314,0
"1773",397,0
"1774",793,1
"1775",793,1
"1776",628,0
"1777",157,0
"1778",793,0
"1779",314,0
"1780",471,0
"1781",793,0
"1782",157,1
"1783",397,1
"1784",793,1
"1785",281,0
"1786",562,1
"1787",281,1
"1788",1686,0
"1789",281,0
"1790",562,0
"1791",562,0
"1792",562,0
"1793",281,0
"1794",281,0
"1795",281,0
"1796",562,1
"1797",562,0
"1798",843,1
"1799",1405,0
"1800",562,0
"1801",562,0
"1802",562,0
"1803",562,0
"1804",600,0
"1805",600,0
"1806",1201,1
"1807",901,0
"1808",901,0
"1809",901,1
"1810",300,0
"1811",300,0
"1812",600,0
"1813",1201,0
"1814",600,0
"1815",600,0
"1816",600,1
"1817",300,0
"1818",300,0
"1819",901,1
"1820",901,0
"1821",901,0
"1822",1335,0
"1823",890,0
"1824",1335,0
"1825",445,0
"1826",2224,0
"1827",1310,0
