fecha,total,clase
jul. 2015,221516,otros
ago. 2015,248747,otros
sep. 2015,284079,otros
oct. 2015,241730,otros
nov. 2015,314997,otros
dic. 2015,400119,otros
ene. 2015,684849,robos
feb. 2015,895983,robos
mar. 2015,887857,robos
abr. 2015,716846,robos
may. 2015,888245,robos
jun. 2015,1062547,robos
jul. 2015,732173,robos
ago. 2015,839611,robos
sep. 2015,927860,robos
oct. 2015,938674,robos
nov. 2015,1328517,robos
dic. 2015,1466637,robos
ene. 2015,21283,sexuales
feb. 2015,37538,sexuales
mar. 2015,27655,sexuales
abr. 2015,37168,sexuales
may. 2015,41059,sexuales
jun. 2015,31710,sexuales
jul. 2015,25628,sexuales
ago. 2015,39835,sexuales
sep. 2015,46944,sexuales
oct. 2015,74133,sexuales
nov. 2015,58098,sexuales
dic. 2015,107580,sexuales
ene. 2016,558092,extorsion_amenazas
feb. 2016,644349,extorsion_amenazas
mar. 2016,714250,extorsion_amenazas
abr. 2016,541220,extorsion_amenazas
may. 2016,761556,extorsion_amenazas
jun. 2016,992465,extorsion_amenazas
jul. 2016,737705,extorsion_amenazas
ago. 2016,690027,extorsion_amenazas
sep. 2016,762612,extorsion_amenazas
oct. 2016,783143,extorsion_amenazas
nov. 2016,1066560,extorsion_amenazas
dic. 2016,1216806,extorsion_amenazas
ene. 2016,239753,fraude
feb. 2016,299821,fraude
mar. 2016,324188,fraude
abr. 2016,234434,fraude
may. 2016,319062,fraude
jun. 2016,370942,fraude
jul. 2016,252656,fraude
ago. 2016,351253,fraude
sep. 2016,274072,fraude
oct. 2016,284358,fraude
nov. 2016,399251,fraude
dic. 2016,469235,fraude
ene. 2016,268626,otros
feb. 2016,294934,otros
mar. 2016,302943,otros
abr. 2016,207880,otros
may. 2016,275084,otros
jun. 2016,372758,otros
jul. 2016,268657,otros
ago. 2016,263816,otros
sep. 2016,294365,otros
oct. 2016,313667,otros
nov. 2016,357444,otros
dic. 2016,488693,otros
ene. 2016,902320,robos
feb. 2016,1144941,robos
mar. 2016,1180944,robos
abr. 2016,884298,robos
may. 2016,1193842,robos
jun. 2016,1267494,robos
jul. 2016,913748,robos
ago. 2016,968864,robos
sep. 2016,1164571,robos
oct. 2016,1225596,robos
nov. 2016,1863865,robos
dic. 2016,2068347,robos
ene. 2016,38391,sexuales
feb. 2016,83815,sexuales
mar. 2016,67848,sexuales
abr. 2016,29309,sexuales
may. 2016,56592,sexuales
jun. 2016,48477,sexuales
jul. 2016,62164,sexuales
ago. 2016,71113,sexuales
sep. 2016,63568,sexuales
oct. 2016,68066,sexuales
nov. 2016,122616,sexuales
dic. 2016,148320,sexuales
ene. 2017,427844,extorsion_amenazas
feb. 2017,553962,extorsion_amenazas
mar. 2017,506276,extorsion_amenazas
abr. 2017,413812,extorsion_amenazas
may. 2017,625062,extorsion_amenazas
jun. 2017,755779,extorsion_amenazas
jul. 2017,507833,extorsion_amenazas
ago. 2017,546035,extorsion_amenazas
sep. 2017,581113,extorsion_amenazas
oct. 2017,651856,extorsion_amenazas
nov. 2017,833696,extorsion_amenazas
dic. 2017,927298,extorsion_amenazas
ene. 2017,272260,fraude
feb. 2017,324317,fraude
mar. 2017,341844,fraude
abr. 2017,225101,fraude
may. 2017,308204,fraude
jun. 2017,264665,fraude
jul. 2017,244708,fraude
ago. 2017,286381,fraude
sep. 2017,291931,fraude
oct. 2017,303014,fraude
nov. 2017,387745,fraude
dic. 2017,473857,fraude
ene. 2017,229377,otros
feb. 2017,294061,otros
mar. 2017,313218,otros
abr. 2017,228702,otros
may. 2017,262556,otros
jun. 2017,312731,otros
jul. 2017,227467,otros
ago. 2017,254716,otros
sep. 2017,250376,otros
oct. 2017,308805,otros
nov. 2017,344298,otros
dic. 2017,381920,otros
ene. 2017,866758,robos
feb. 2017,1067267,robos
mar. 2017,1067467,robos
abr. 2017,839156,robos
may. 2017,1101121,robos
jun. 2017,1250732,robos
jul. 2017,930897,robos
ago. 2017,1049397,robos
sep. 2017,1175865,robos
oct. 2017,1137950,robos
nov. 2017,1574109,robos
dic. 2017,1644230,robos
ene. 2017,60109,sexuales
feb. 2017,74826,sexuales
mar. 2017,59799,sexuales
abr. 2017,42483,sexuales
may. 2017,77802,sexuales
jun. 2017,63510,sexuales
jul. 2017,61156,sexuales
ago. 2017,96466,sexuales
sep. 2017,96789,sexuales
oct. 2017,111161,sexuales
nov. 2017,122756,sexuales
dic. 2017,185708,sexuales
ene. 2018,441608,extorsion_amenazas
feb. 2018,515062,extorsion_amenazas
mar. 2018,636341,extorsion_amenazas
abr. 2018,419034,extorsion_amenazas
may. 2018,563274,extorsion_amenazas
jun. 2018,670402,extorsion_amenazas
jul. 2018,524566,extorsion_amenazas
ago. 2018,487198,extorsion_amenazas
sep. 2018,528430,extorsion_amenazas
oct. 2018,547786,extorsion_amenazas
nov. 2018,735273,extorsion_amenazas
dic. 2018,816607,extorsion_amenazas
ene. 2018,284515,fraude
feb. 2018,329092,fraude
mar. 2018,342925,fraude
abr. 2018,224336,fraude
may. 2018,286723,fraude
jun. 2018,334226,fraude
jul. 2018,265922,fraude
ago. 2018,291605,fraude
sep. 2018,292474,fraude
oct. 2018,293769,fraude
nov. 2018,416422,fraude
dic. 2018,484139,fraude
ene. 2018,244399,otros
feb. 2018,280817,otros
mar. 2018,317414,otros
abr. 2018,215257,otros
may. 2018,288681,otros
jun. 2018,296401,otros
jul. 2018,207672,otros
ago. 2018,238614,otros
sep. 2018,229488,otros
oct. 2018,242044,otros
nov. 2018,310888,otros
dic. 2018,375938,otros
ene. 2018,882600,robos
feb. 2018,1100508,robos
mar. 2018,1165776,robos
abr. 2018,789681,robos
may. 2018,1112314,robos
jun. 2018,1158019,robos
jul. 2018,931066,robos
ago. 2018,1040595,robos
sep. 2018,1107403,robos
oct. 2018,1088765,robos
nov. 2018,1551518,robos
dic. 2018,1667922,robos
ene. 2018,68596,sexuales
feb. 2018,70760,sexuales
mar. 2018,91277,sexuales
abr. 2018,86206,sexuales
may. 2018,78850,sexuales
jun. 2018,62615,sexuales
jul. 2018,61620,sexuales
ago. 2018,79823,sexuales
sep. 2018,61882,sexuales
oct. 2018,84590,sexuales
