"","total","FECHA"
"2020-08-20",7529,2020-08-20
"2020-08-21",5230,2020-08-21
"2020-08-22",4924,2020-08-22
"2020-08-23",4590,2020-08-23
"2020-08-24",5999,2020-08-24
"2020-08-25",5872,2020-08-25
"2020-08-26",4917,2020-08-26
"2020-08-27",4976,2020-08-27
"2020-08-28",6261,2020-08-28
"2020-08-29",4465,2020-08-29
"2020-08-30",4928,2020-08-30
"2020-08-31",5719,2020-08-31
"2020-09-01",7223,2020-09-01
"2020-09-02",4892,2020-09-02
"2020-09-03",4704,2020-09-03
"2020-09-04",4805,2020-09-04
"2020-09-05",5186,2020-09-05
"2020-09-06",4187,2020-09-06
"2020-09-07",5187,2020-09-07
"2020-09-08",4627,2020-09-08
"2020-09-09",4346,2020-09-09
"2020-09-10",5525,2020-09-10
"2020-09-11",4274,2020-09-11
"2020-09-12",3657,2020-09-12
"2020-09-13",3459,2020-09-13
"2020-09-14",4794,2020-09-14
"2020-09-15",5063,2020-09-15
"2020-09-16",3658,2020-09-16
"2020-09-17",4462,2020-09-17
"2020-09-18",5043,2020-09-18
"2020-09-19",4758,2020-09-19
"2020-09-20",5883,2020-09-20
"2020-09-21",5004,2020-09-21
"2020-09-22",4195,2020-09-22
"2020-09-23",4071,2020-09-23
"2020-09-24",4043,2020-09-24
"2020-09-25",5238,2020-09-25
"2020-09-26",4069,2020-09-26
"2020-09-27",4100,2020-09-27
"2020-09-28",5198,2020-09-28
"2020-09-29",4424,2020-09-29
"2020-09-30",4390,2020-09-30
"2020-10-01",6243,2020-10-01
"2020-10-02",4773,2020-10-02
"2020-10-03",4279,2020-10-03
"2020-10-04",4095,2020-10-04
"2020-10-05",6036,2020-10-05
"2020-10-06",4689,2020-10-06
"2020-10-07",4913,2020-10-07
"2020-10-08",4954,2020-10-08
"2020-10-09",5275,2020-10-09
"2020-10-10",7425,2020-10-10
"2020-10-11",4767,2020-10-11
"2020-10-12",6656,2020-10-12
"2020-10-13",5472,2020-10-13
"2020-10-14",5159,2020-10-14
"2020-10-15",6574,2020-10-15
"2020-10-16",5986,2020-10-16
"2020-10-17",5481,2020-10-17
"2020-10-18",5967,2020-10-18
"2020-10-19",7470,2020-10-19
"2020-10-20",8223,2020-10-20
"2020-10-21",5462,2020-10-21
"2020-10-22",5793,2020-10-22
"2020-10-23",5912,2020-10-23
"2020-10-24",5185,2020-10-24
"2020-10-25",6112,2020-10-25
"2020-10-26",6906,2020-10-26
"2020-10-27",5659,2020-10-27
"2020-10-28",5813,2020-10-28
"2020-10-29",5020,2020-10-29
"2020-10-30",6076,2020-10-30
"2020-10-31",4890,2020-10-31
"2020-11-01",7855,2020-11-01
"2020-11-02",6687,2020-11-02
"2020-11-03",6430,2020-11-03
"2020-11-04",6014,2020-11-04
"2020-11-05",6526,2020-11-05
"2020-11-06",6592,2020-11-06
"2020-11-07",6129,2020-11-07
"2020-11-08",5869,2020-11-08
"2020-11-09",7812,2020-11-09
"2020-11-10",8283,2020-11-10
"2020-11-11",6303,2020-11-11
"2020-11-12",5947,2020-11-12
"2020-11-13",5928,2020-11-13
"2020-11-14",5712,2020-11-14
"2020-11-15",7257,2020-11-15
"2020-11-16",7049,2020-11-16
"2020-11-17",7306,2020-11-17
"2020-11-18",7363,2020-11-18
"2020-11-19",6946,2020-11-19
"2020-11-20",11007,2020-11-20
"2020-11-21",6824,2020-11-21
"2020-11-22",7052,2020-11-22
"2020-11-23",9028,2020-11-23
"2020-11-24",7757,2020-11-24
"2020-11-25",8662,2020-11-25
"2020-11-26",7516,2020-11-26
"2020-11-27",8240,2020-11-27
"2020-11-28",8468,2020-11-28
"2020-11-29",7615,2020-11-29
"2020-11-30",11513,2020-11-30
"2020-12-01",12951,2020-12-01
"2020-12-02",9352,2020-12-02
"2020-12-03",9248,2020-12-03
"2020-12-04",9622,2020-12-04
"2020-12-05",10502,2020-12-05
"2020-12-06",8516,2020-12-06
"2020-12-07",12203,2020-12-07
"2020-12-08",10515,2020-12-08
"2020-12-09",10651,2020-12-09
"2020-12-10",12685,2020-12-10
"2020-12-11",10890,2020-12-11
"2020-12-12",10881,2020-12-12
"2020-12-13",9335,2020-12-13
"2020-12-14",12676,2020-12-14
"2020-12-15",12107,2020-12-15
"2020-12-16",10000,2020-12-16
"2020-12-17",9687,2020-12-17
"2020-12-18",11409,2020-12-18
"2020-12-19",9565,2020-12-19
"2020-12-20",11174,2020-12-20
"2020-12-21",10386,2020-12-21
"2020-12-22",9447,2020-12-22
"2020-12-23",9195,2020-12-23
"2020-12-24",10590,2020-12-24
"2020-12-25",10472,2020-12-25
"2020-12-26",10604,2020-12-26
"2020-12-27",10705,2020-12-27
"2020-12-28",13991,2020-12-28
"2020-12-29",10028,2020-12-29
"2020-12-30",10674,2020-12-30
"2020-12-31",12641,2020-12-31
"2021-01-01",17324,2021-01-01
"2021-01-02",13737,2021-01-02
"2021-01-03",14148,2021-01-03
"2021-01-04",18633,2021-01-04
"2021-01-05",16678,2021-01-05
"2021-01-06",14602,2021-01-06
"2021-01-07",14584,2021-01-07
"2021-01-08",15802,2021-01-08
"2021-01-09",14565,2021-01-09
"2021-01-10",17159,2021-01-10
"2021-01-11",17365,2021-01-11
"2021-01-12",14730,2021-01-12
"2021-01-13",14061,2021-01-13
"2021-01-14",14082,2021-01-14
"2021-01-15",16551,2021-01-15
"2021-01-16",13253,2021-01-16
"2021-01-17",11568,2021-01-17
"2021-01-18",16871,2021-01-18
"2021-01-19",13431,2021-01-19
"2021-01-20",16392,2021-01-20
"2021-01-21",11781,2021-01-21
"2021-01-22",12288,2021-01-22
"2021-01-23",11209,2021-01-23
"2021-01-24",9851,2021-01-24
"2021-01-25",14333,2021-01-25
"2021-01-26",10567,2021-01-26
"2021-01-27",9334,2021-01-27
"2021-01-28",9803,2021-01-28
"2021-01-29",8081,2021-01-29
"2021-01-30",7782,2021-01-30
"2021-01-31",6749,2021-01-31
"2021-02-01",10682,2021-02-01
"2021-02-02",9214,2021-02-02
"2021-02-03",7747,2021-02-03
"2021-02-04",7344,2021-02-04
"2021-02-05",8428,2021-02-05
"2021-02-06",6492,2021-02-06
"2021-02-07",5670,2021-02-07
"2021-02-08",8436,2021-02-08
"2021-02-09",6422,2021-02-09
"2021-02-10",7683,2021-02-10
"2021-02-11",5545,2021-02-11
"2021-02-12",6009,2021-02-12
"2021-02-13",5236,2021-02-13
"2021-02-14",4940,2021-02-14
"2021-02-15",7692,2021-02-15
"2021-02-16",5869,2021-02-16
"2021-02-17",5513,2021-02-17
"2021-02-18",5901,2021-02-18
"2021-02-19",5850,2021-02-19
"2021-02-20",6691,2021-02-20
"2021-02-21",4562,2021-02-21
"2021-02-22",6724,2021-02-22
"2021-02-23",5519,2021-02-23
"2021-02-24",5016,2021-02-24
"2021-02-25",5631,2021-02-25
"2021-02-26",5787,2021-02-26
"2021-02-27",4908,2021-02-27
"2021-02-28",5816,2021-02-28
"2021-03-01",8063,2021-03-01
"2021-03-02",5380,2021-03-02
"2021-03-03",5156,2021-03-03
"2021-03-04",4656,2021-03-04
"2021-03-05",5209,2021-03-05
"2021-03-06",4265,2021-03-06
"2021-03-07",3855,2021-03-07
"2021-03-08",5295,2021-03-08
"2021-03-09",4469,2021-03-09
"2021-03-10",5140,2021-03-10
"2021-03-11",3723,2021-03-11
"2021-03-12",3942,2021-03-12
"2021-03-13",3521,2021-03-13
"2021-03-14",3334,2021-03-14
"2021-03-15",4594,2021-03-15
"2021-03-16",4452,2021-03-16
"2021-03-17",4016,2021-03-17
"2021-03-18",4144,2021-03-18
"2021-03-19",4022,2021-03-19
"2021-03-20",4785,2021-03-20
"2021-03-21",3115,2021-03-21
"2021-03-22",4428,2021-03-22
"2021-03-23",3832,2021-03-23
"2021-03-24",3474,2021-03-24
"2021-03-25",3561,2021-03-25
"2021-03-26",3150,2021-03-26
"2021-03-27",3012,2021-03-27
"2021-03-28",2986,2021-03-28
"2021-03-29",3461,2021-03-29
"2021-03-30",3155,2021-03-30
"2021-03-31",2845,2021-03-31
"2021-04-01",3729,2021-04-01
"2021-04-02",2871,2021-04-02
"2021-04-03",3113,2021-04-03
"2021-04-04",3341,2021-04-04
"2021-04-05",4497,2021-04-05
"2021-04-06",3403,2021-04-06
"2021-04-07",3285,2021-04-07
"2021-04-08",3143,2021-04-08
"2021-04-09",3275,2021-04-09
"2021-04-10",3891,2021-04-10
"2021-04-11",2712,2021-04-11
"2021-04-12",3631,2021-04-12
"2021-04-13",2931,2021-04-13
"2021-04-14",2847,2021-04-14
"2021-04-15",3122,2021-04-15
"2021-04-16",2865,2021-04-16
"2021-04-17",2506,2021-04-17
"2021-04-18",2488,2021-04-18
"2021-04-19",3362,2021-04-19
"2021-04-20",3454,2021-04-20
"2021-04-21",2535,2021-04-21
"2021-04-22",2467,2021-04-22
"2021-04-23",2506,2021-04-23
"2021-04-24",2513,2021-04-24
"2021-04-25",2709,2021-04-25
"2021-04-26",2824,2021-04-26
"2021-04-27",2484,2021-04-27
"2021-04-28",2396,2021-04-28
"2021-04-29",2068,2021-04-29
"2021-04-30",2267,2021-04-30
"2021-05-01",2546,2021-05-01
"2021-05-02",1896,2021-05-02
"2021-05-03",2589,2021-05-03
"2021-05-04",2082,2021-05-04
"2021-05-05",2402,2021-05-05
"2021-05-06",1945,2021-05-06
"2021-05-07",1983,2021-05-07
"2021-05-08",1850,2021-05-08
"2021-05-09",1650,2021-05-09
"2021-05-10",2606,2021-05-10
"2021-05-11",2089,2021-05-11
"2021-05-12",1980,2021-05-12
"2021-05-13",1866,2021-05-13
"2021-05-14",2041,2021-05-14
"2021-05-15",2242,2021-05-15
"2021-05-16",1643,2021-05-16
"2021-05-17",2459,2021-05-17
"2021-05-18",2226,2021-05-18
"2021-05-19",1879,2021-05-19
"2021-05-20",2382,2021-05-20
"2021-05-21",1919,2021-05-21
"2021-05-22",1905,2021-05-22
"2021-05-23",1850,2021-05-23
"2021-05-24",2595,2021-05-24
"2021-05-25",2369,2021-05-25
"2021-05-26",2170,2021-05-26
"2021-05-27",1921,2021-05-27
"2021-05-28",2365,2021-05-28
"2021-05-29",1926,2021-05-29
"2021-05-30",2127,2021-05-30
"2021-05-31",2635,2021-05-31
"2021-06-01",3283,2021-06-01
"2021-06-02",2392,2021-06-02
