"","Entidad","delitos","cifra_negra","porcentaje","anio","zona"
"288","Quintana Roo",406707,370793,91.16956433,2012,"Sureste"
"289","San Luis Potosí",613318,570755,93.06020694,2012,"Centronorte"
"290","Sinaloa",664359,617993,93.02094199,2012,"Noroeste"
"291","Sonora",651910,597287,91.62108266,2012,"Noroeste"
"292","Tabasco",369895,324638,87.76490626,2012,"Sureste"
"293","Tamaulipas",593441,546298,92.05599209,2012,"Noreste"
"294","Tlaxcala",147810,134390,90.92077667,2012,"Oriente"
"295","Veracruz de Ignacio de la Llave",1233114,1132045,91.80375861,2012,"Oriente"
"296","Yucatán",326090,290138,88.9748229,2012,"Sureste"
"297","Zacatecas",201858,180124,89.2330252,2012,"Centronorte"
